timestamp,mode_time_elapsed,fps,person_detected,person_x_pixels,person_z_camera,person_confidence,servo_position,servo_is_moving,person_centered,pixel_error,total_moves,successful_centers,false_positive_rejections,detection_success_count,detection_failure_count,detection_rate,consecutive_successes,consecutive_failures,rolling_variance_pixels,rolling_std_dev_pixels,average_variance_pixels,reused_detection,last_good_age_ms,smoothing_applied,smoothed_position_x,raw_position_x,dynamic_offset_x,dynamic_offset_y,calibration_samples_count,movement_enabled,base_is_moving,base_direction,base_speed,movement_success_rate,total_movement_commands,avg_movement_duration,robot_pos_x,robot_pos_y,robot_orientation,robot_velocity_x,robot_velocity_y,total_distance_traveled,total_rotation,position_confidence,orientation_confidence,imu_initialized,imu_roll,imu_pitch,imu_yaw,imu_smoothed_yaw,imu_angular_vel_x,imu_angular_vel_y,imu_angular_vel_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_update_rate,navigation_enabled,navigation_state,has_person_target,goal_reached,person_distance_mm,person_angle_deg,time_since_person_update,attractive_force_magnitude,repulsive_force_magnitude,total_force_magnitude,nav_movement_direction,nav_movement_speed,navigation_success_rate,goals_reached,force_calculations_count,obstacles_filtered_count
1764118021.0964057,16.883966207504272,24.801879630721718,True,1166,1042.705810546875,0.9921875,0.08,True,False,256,14,109,0,137,47,74.45652173913044,19,0,6006.763232323232,77.50331110554717,12962.46371833405,1,37.001848220825195,136,1166.4,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.68678564169602,0.0,0.0,0.0,7.8135846672575155,1.0,0.9,True,166.18457632250633,87.87459955878757,176.64681241597114,176.68678564169602,0.3579288423061371,0.002130528911948204,0.011717909015715122,-9.241618156433105,-0.08619125932455063,-0.31603461503982544,9.999981159784733,False,IDLE,True,False,1240.339607788547,14.508274296988807,0.0005943775177001953,1.4806792155770938,81.11294595470932,4.999999999999999,NONE,0.0,0.0,0,184,30
1764118021.1410356,16.928596019744873,24.80763670227605,True,1166,1041.1360130722933,0.9921875,0.06,True,False,256,15,109,0,138,47,74.5945945945946,20,0,6071.31101010101,77.91861786570017,13211.624669417117,0,0.0,137,1166.2,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.58720041995767,0.0,0.0,0.0,7.913169888995867,1.0,0.9,True,166.43544526997405,87.99634372367515,175.90448315208187,176.58720041995767,0.34940671920776367,-0.015978965908288956,0.007456851191818714,-9.2033109664917,0.24899697303771973,-0.4596867263317108,9.999981957545486,False,IDLE,True,False,1238.4592574120122,14.478704517860837,0.0005812644958496094,1.476918514824025,81.11294595470932,4.999999999999999,NONE,0.0,0.0,0,185,30
1764118021.1800685,16.967628955841064,24.77680422819146,True,1166,1041.1360130722933,0.9921875,0.06,True,False,256,15,109,0,139,47,74.73118279569893,21,0,6291.805555555556,79.32090238742595,13452.263997497654,1,41.31722450256348,138,1166.0666666666666,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.48608362819633,0.0,0.0,0.0,8.014286680757209,1.0,0.9,True,167.1120848536879,87.90468210381972,175.8692817877028,176.48608362819633,0.2684466242790222,-0.002130528911948204,-0.013848437927663326,-9.2033109664917,0.15322890877723694,-0.507570743560791,9.999983259454675,False,IDLE,True,False,1238.4592574120122,15.603704517860846,0.0005900859832763672,1.4769185148240245,80.59319494940651,4.999999999999999,NONE,0.0,0.0,0,186,29
1764118021.2182999,17.005860328674316,24.761909171572764,True,1166,1041.1360130722933,0.9921875,0.06,True,False,256,15,109,0,140,47,74.8663101604278,22,0,6502.8746464646465,80.64040331288433,13684.67009249743,1,79.4839859008789,139,1166.0,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.43559915947384,0.0,0.0,0.0,8.064771149479697,1.0,0.9,True,168.18628882712636,87.90867899755547,176.47601840714034,176.43559915947384,0.18322548270225525,-0.006391586735844612,-0.013848437927663326,-9.251194953918457,-0.2298433631658554,-0.23942017555236816,9.999980722556328,False,IDLE,True,False,1238.4592574120122,15.603704517860846,0.0006117820739746094,1.4769185148240245,80.59319494940651,4.999999999999999,NONE,0.0,0.0,0,187,29
1764118021.2646573,17.052217721939087,24.777130652218876,True,1166,1041.1360130722933,0.9921875,0.06,True,False,256,15,109,0,141,47,75.0,23,0,6703.23797979798,81.87330443922475,13909.120162107396,1,122.15065956115723,140,1166.0,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.461633294162,0.0,0.0,0.0,8.090805284167857,1.0,0.9,True,169.154279512028,87.95582670338409,177.1112392885473,176.461633294162,0.08202536404132843,-0.003195793367922306,0.0,-9.251194953918457,-0.4118026793003082,-0.3447650372982025,9.99997250584796,False,IDLE,True,False,1238.4592574120122,15.603704517860846,0.0028467178344726562,1.4769185148240245,80.50395491920591,4.999999999999999,NONE,0.0,0.0,0,188,28
1764118021.3008027,17.08836317062378,24.78597415700984,True,1166,1041.1360130722933,0.9921875,0.06,True,False,256,15,109,0,142,47,75.13227513227513,24,0,6894.088383838384,83.03064725653043,14125.880731195684,1,162.0781421661377,141,1166.0,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.41665170615386,0.0,0.0,0.0,8.135786872175998,1.0,0.9,True,168.53356757465193,87.89036987313142,176.3944304697923,176.41665170615386,0.015978965908288956,-0.004261057823896408,0.01810949482023716,-9.21288776397705,-0.019153613597154617,-0.4213795065879822,9.99998329811262,False,IDLE,True,False,1238.4592574120122,15.603704517860846,0.0005762577056884766,1.4769185148240245,80.50395491920591,4.999999999999999,NONE,0.0,0.0,0,189,28
1764118021.3382149,17.12577533721924,24.791348998625914,True,1166,1041.1360130722933,0.9921875,0.06,True,False,256,15,109,0,143,47,75.26315789473685,25,0,7069.749898989899,84.08180480335741,14335.208115827834,1,199.3730068206787,142,1166.0,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.28165370038906,0.0,0.0,0.0,8.270784877940798,1.0,0.9,True,167.37385781313031,87.93679095212515,175.18214885817522,176.28165370038906,0.03941478207707405,-0.007456851191818714,0.008522115647792816,-9.184157371520996,0.4692635238170624,-0.38307225704193115,9.99998029913517,False,IDLE,True,False,1238.4592574120122,15.603704517860846,0.0006058216094970703,1.4769185148240245,80.75113977199129,5.0,NONE,0.0,0.0,0,190,28
1764118021.380625,17.168185472488403,24.7785417256359,True,1166,1041.1360130722933,0.9921875,0.039999999999999994,True,False,256,16,109,0,144,47,75.39267015706807,26,0,7235.544545454545,85.0620041231956,14537.348873348874,1,240.9679889678955,143,1166.0,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.2108378109514,0.0,0.0,0.0,8.341600767378452,1.0,0.9,True,167.39255986989141,87.87289668651549,175.10117238918812,176.2108378109514,0.04261057823896408,-0.002130528911948204,-0.02130528911948204,-9.241618156433105,0.26815059781074524,-0.3734954595565796,9.999980577037249,False,IDLE,True,False,1238.4592574120122,15.603704517860846,0.0006279945373535156,1.4769185148240245,80.75113977199129,5.0,NONE,0.0,0.0,0,191,28
1764118021.418367,17.20592737197876,24.78978914360525,True,1166,1041.1360130722933,0.9921875,0.039999999999999994,True,False,256,16,109,0,145,47,75.52083333333334,27,0,7391.472323232323,85.97367226792353,14732.540229885057,1,279.6821594238281,144,1166.0,1166,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.18271008312888,0.0,0.0,0.0,8.369728495200974,1.0,0.9,True,168.46191233165504,88.01322741971038,176.0757876632776,176.18271008312888,0.041545312851667404,-0.006391586735844612,-0.01065264455974102,-9.279925346374512,-0.17238251864910126,-0.28730419278144836,9.99998047951694,False,IDLE,True,False,1238.4592574120122,16.72870451786084,0.0005795955657958984,1.4769185148240245,80.75113977199129,5.000000000000001,NONE,0.0,0.0,0,192,27
1764118021.4591634,17.246723890304565,24.806176026490764,False,0,0,0.0,0.039999999999999994,True,False,0,16,109,0,145,48,75.12953367875647,0,1,7391.472323232323,85.97367226792353,14732.540229885057,0,0.0,144,1166.0,0,0.0,0.0,0,False,False,NONE,0.0,0.0,0,0.0,0.0,0.0,176.06259915473294,0.0,0.0,0.0,8.48983942359692,1.0,0.9,True,168.34737168044893,87.96067936945317,175.8646171154527,176.06259915473294,0.049002163112163544,-0.00532632227987051,0.01065264455974102,-9.260771751403809,-0.028730420395731926,-0.15322890877723694,9.999981988929418,False,IDLE,True,False,1238.4592574120122,16.72870451786084,0.04136204719543457,1.4769185148240245,80.75113977199129,5.000000000000001,NONE,0.0,0.0,0,193,0
